Parent Name,Parent Artifact Type,Child Name,Child Artifact Type
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.NFIPCOMMNUM,RMO Column
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.NFIPMAPPANEL,RMO Column
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.NFIPMAPEFF,RMO Column
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.FEDFLOODAVAIL,RMO Column
Empower_WK.LN_FLOOD,RMO Table,Empower_WK.LN_FLOOD.DETERMDATE,RMO Column
Empower_WK.LN_TRANSUMM,RMO Table,Empower_WK.LN_TRANSUMM.ESCROW_TI,RMO Column
Empower_WK.LN_CURRADDR,RMO Table,Empower_WK.LN_CURRADDR.BORR_CITY,RMO Column
Empower_WK.LN_CURRADDR,RMO Table,Empower_WK.LN_CURRADDR.BORR_STATE,RMO Column
Empower_WK.LN_CURRADDR,RMO Table,Empower_WK.LN_CURRADDR.BORR_ZIP,RMO Column
Empower_WK.LN_CODES,RMO Table,Empower_WK.LN_CODES.CODEINT,RMO Column
Empower_WK.LN_DUFINDINGSMAIN,RMO Table,Empower_WK.LN_DUFINDINGSMAIN.LTV_PCT_WO_MI,RMO Column
Empower_WK.LN_PLANDAT,RMO Table,Empower_WK.LN_PLANDAT.ATR_QM_RULE,RMO Column
Empower_WK.LN_SECTION35,RMO Table,Empower_WK.LN_SECTION35.HIGH_PRICED_LOAN,RMO Column
Empower_WK.LN_APPRAISERS,RMO Table,Empower_WK.LN_APPRAISERS.AGENT_ID,RMO Column
Empower_WK.LN_EVNTDATE,RMO Table,Empower_WK.LN_EVNTDATE.EVENTDATE,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.CREDIT_SCORE,RMO Column
Empower_WK.LN_BORRINFO,RMO Table,Empower_WK.LN_BORRINFO.BORR_INTITLE,RMO Column
Empower_WK.LN_REALEC_RESPONSE,RMO Table,Empower_WK.LN_REALEC_RESPONSE.TITLE_LOT,RMO Column
Empower_WK.LN_APPRAISAL_INFO,RMO Table,Empower_WK.LN_APPRAISAL_INFO.ORDER_TYPE,RMO Column
Empower_WK.LN_BORRINFO2,RMO Table,Empower_WK.LN_BORRINFO2.PREF_CONTACT_METH,RMO Column
Empower_WK.U__DAT_BRANCH_REFERRAL,RMO Table,Empower_WK.U__DAT_BRANCH_REFERRAL.MISER_GL_BR_NUM,RMO Column
Empower_WK.U_KEY_MZR_RCIF,RMO Table,Empower_WK.U_KEY_MZR_RCIF.MISER_CIF_ID,RMO Column
